,Unnamed: 0,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,full_date,hour
439,441,34,Female,Few times a month,Clothing and Fashion,No,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Rarely,Sometimes,2,Sometimes,2,1,Competitive prices,Reducing packaging waste,2023-06-09,15
441,443,23,Female,Multiple times a week,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,2,Competitive prices,Product quality and accuracy,2023-06-09,16
442,444,33,Female,Few times a month,Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,4,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,1,Wide product selection,Customer service responsiveness,2023-06-09,16
443,445,23,Female,Few times a month,Clothing and Fashion,Sometimes,Rarely,others,First page,3,Maybe,Rarely,others,Never,True,Rarely,Sometimes,3,No,3,3,Competitive prices,Reducing packaging waste,2023-06-09,16
444,446,34,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,1,Sometimes,3,2,Competitive prices,Reducing packaging waste,2023-06-09,16
445,447,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Yes,3,Sometimes,3,4,Product recommendations,Reducing packaging waste,2023-06-09,16
446,448,34,Prefer not to say,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,2,Sometimes,2,3,Product recommendations,Customer service responsiveness,2023-06-09,17
447,449,23,Female,Few times a month,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-09,19
448,450,23,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,2,Sometimes,4,3,Product recommendations,Reducing packaging waste,2023-06-09,19
449,451,23,Female,Once a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,categories,First page,1,Maybe,Sometimes,Found a better price elsewhere,Always,True,Moderately,Sometimes,3,Sometimes,4,1,Product recommendations,Reducing packaging waste,2023-06-09,19
450,452,23,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,2,Sometimes,2,2,Product recommendations,Reducing packaging waste,2023-06-09,20
451,453,45,Female,Few times a month,Beauty and Personal Care;others,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Rarely,Sometimes,3,No,2,3,Product recommendations,Customer service responsiveness,2023-06-09,20
452,454,23,Female,Less than once a month,Clothing and Fashion,No,Multiple times a day,Filter,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,2,Sometimes,2,1,Competitive prices,Reducing packaging waste,2023-06-09,20
453,455,34,Prefer not to say,Once a week,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Often,True,Occasionally,Sometimes,3,Sometimes,2,3,Product recommendations,Customer service responsiveness,2023-06-09,20
454,456,45,Female,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
455,457,34,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,2,Product recommendations,Customer service responsiveness,2023-06-09,20
456,458,45,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,Sometimes,3,Sometimes,2,1,Competitive prices,Reducing packaging waste,2023-06-09,20
457,459,67,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,2,Maybe,Often,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,1,Yes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
458,460,34,Others,Once a week,Beauty and Personal Care,Sometimes,Rarely,categories,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Often,True,Moderately,Sometimes,2,Yes,3,2,Competitive prices,Customer service responsiveness,2023-06-09,20
459,461,21,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,Filter,First page,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,No,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
461,463,34,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,Sometimes,2,Sometimes,3,3,Competitive prices,Product quality and accuracy,2023-06-09,20
462,464,46,Prefer not to say,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Rarely,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-09,20
463,465,54,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Product quality and accuracy,2023-06-09,20
464,466,56,Prefer not to say,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
465,467,50,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,4,Product recommendations,Shipping speed and reliability,2023-06-09,20
466,468,56,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Occasionally,Yes,4,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-09,20
467,469,22,Prefer not to say,Few times a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,True,Occasionally,Sometimes,4,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-09,20
468,470,25,Prefer not to say,Few times a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
469,471,23,Male,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-09,20
470,472,23,Prefer not to say,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
471,473,56,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
472,474,56,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
473,475,23,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-09,20
474,476,56,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,categories,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,No,4,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-09,20
475,477,23,Female,Few times a month,Beauty and Personal Care,Sometimes,Multiple times a day,categories,Multiple pages,3,Maybe,Sometimes,High shipping costs,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
476,478,45,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-09,20
477,479,23,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,4,3,Wide product selection,Customer service responsiveness,2023-06-09,20
478,480,23,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-09,20
479,481,34,Prefer not to say,Few times a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Rarely,Yes,2,Sometimes,1,3,Product recommendations,Customer service responsiveness,2023-06-09,21
480,482,34,Female,Few times a month,Clothing and Fashion,No,Few times a week,categories,First page,2,Maybe,Sometimes,Found a better price elsewhere,Rarely,True,Occasionally,Sometimes,2,Sometimes,2,2,Product recommendations,Reducing packaging waste,2023-06-09,21
481,483,45,Others,Few times a month,Beauty and Personal Care,No,Few times a month,Filter,First page,2,Yes,Often,Changed my mind or no longer need the item,Often,True,Moderately,No,2,Sometimes,3,2,Competitive prices,Product quality and accuracy,2023-06-09,21
482,484,33,Prefer not to say,Once a week,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,1,No,Rarely,Changed my mind or no longer need the item,Often,True,Moderately,No,2,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-09,21
483,485,34,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,2,Yes,Often,Found a better price elsewhere,Often,True,Moderately,Sometimes,2,Sometimes,2,1,Competitive prices,Reducing packaging waste,2023-06-09,22
484,486,45,Prefer not to say,Once a week,Beauty and Personal Care,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Often,True,Heavily,Sometimes,4,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-09,22
485,487,45,Male,Few times a month,Beauty and Personal Care,No,Few times a week,others,First page,2,No,Sometimes,Changed my mind or no longer need the item,Often,True,Heavily,No,3,Sometimes,3,3,Product recommendations,Product quality and accuracy,2023-06-09,22
486,488,34,Female,Once a week,Clothing and Fashion,No,Few times a week,categories,First page,2,Maybe,Often,Changed my mind or no longer need the item,Sometimes,True,Heavily,Sometimes,2,Sometimes,2,3,Competitive prices,Customer service responsiveness,2023-06-09,22
487,489,67,Prefer not to say,Few times a month,Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,3,No,Sometimes,High shipping costs,Sometimes,True,Rarely,Sometimes,2,Sometimes,4,2,Product recommendations,Reducing packaging waste,2023-06-09,22
488,490,34,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Always,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,4,Product recommendations,Reducing packaging waste,2023-06-09,22
489,491,45,Others,Less than once a month,Beauty and Personal Care,No,Few times a week,Filter,First page,4,Maybe,Always,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,2,2,Product recommendations,Customer service responsiveness,2023-06-09,22
490,492,23,Female,Once a month,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Competitive prices,Reducing packaging waste,2023-06-09,22
491,493,21,Prefer not to say,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-10,0
492,494,23,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,High shipping costs,Sometimes,True,Occasionally,Sometimes,3,Sometimes,4,4,User-friendly website/app interface,Customer service responsiveness,2023-06-10,0
493,495,23,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Yes,3,3,Competitive prices,Reducing packaging waste,2023-06-10,0
494,496,42,Female,Once a week,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Never,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-10,0
495,497,23,Prefer not to say,Once a week,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,4,Sometimes,3,3,Product recommendations,Shipping speed and reliability,2023-06-10,0
496,498,23,Prefer not to say,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Always,Changed my mind or no longer need the item,Sometimes,True,Never,Sometimes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,2023-06-10,0
497,499,25,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Sometimes,others,Rarely,True,Moderately,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-10,0
498,500,40,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,True,Heavily,Yes,2,Yes,2,1,Wide product selection,Product quality and accuracy,2023-06-10,16
499,501,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-10,20
500,502,23,Female,Multiple times a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-10,20
501,503,27,Male,Less than once a month,Clothing and Fashion,Sometimes,Rarely,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,Yes,3,Sometimes,2,2,Wide product selection,Product quality and accuracy,2023-06-11,4
502,504,39,Male,Once a month,Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Often,True,Moderately,Yes,1,Yes,2,1,All the above,Reducing packaging waste,2023-06-11,15
503,505,32,Female,Once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,others,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Occasionally,Yes,5,Yes,1,2,Competitive prices,Shipping speed and reliability,2023-06-11,15
504,506,36,Female,Less than once a month,Home and Kitchen,No,Rarely,Keyword,Multiple pages,1,Maybe,Sometimes,others,Sometimes,True,Rarely,Yes,2,Yes,1,2,Wide product selection,Product quality and accuracy,2023-06-11,19
505,507,40,Female,Once a month,Clothing and Fashion,Yes,Rarely,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Rarely,Sometimes,5,Yes,5,4,Product recommendations,Customer service responsiveness,2023-06-12,2
506,508,23,Male,Once a month,Clothing and Fashion,Sometimes,Rarely,Filter,First page,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,3,Sometimes,3,1,Product recommendations,Customer service responsiveness,2023-06-12,4
507,509,45,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a month,categories,First page,3,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Moderately,Sometimes,3,Sometimes,1,1,Competitive prices,Reducing packaging waste,2023-06-12,4
508,510,45,Prefer not to say,Few times a month,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,2,Yes,Often,High shipping costs,Always,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy,2023-06-12,4
509,511,45,Prefer not to say,Few times a month,Beauty and Personal Care,Yes,Few times a month,Filter,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,2,Sometimes,2,1,Wide product selection,Product quality and accuracy,2023-06-12,4
510,512,45,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Often,True,Heavily,No,1,Sometimes,3,1,Product recommendations,Reducing packaging waste,2023-06-12,4
511,513,45,Female,Few times a month,Clothing and Fashion,No,Multiple times a day,categories,First page,1,No,Sometimes,Found a better price elsewhere,Never,True,Moderately,Sometimes,4,No,4,4,User-friendly website/app interface,Shipping speed and reliability,2023-06-12,4
512,514,32,Male,Once a month,Clothing and Fashion;Home and Kitchen,No,Rarely,others,First page,4,Maybe,Rarely,High shipping costs,Sometimes,True,Occasionally,No,2,No,3,5,Competitive prices,Customer service responsiveness,2023-06-12,4
513,515,34,Prefer not to say,Once a month,Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,2,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Rarely,No,3,No,3,2,Competitive prices,Reducing packaging waste,2023-06-12,4
514,516,54,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,categories,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,3,No,2,3,Competitive prices,Reducing packaging waste,2023-06-12,4
515,517,25,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,3,Maybe,Often,Found a better price elsewhere,Sometimes,True,Heavily,Sometimes,3,No,2,2,Product recommendations,Customer service responsiveness,2023-06-12,4
516,518,26,Others,Once a month,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Filter,First page,4,Maybe,Often,Found a better price elsewhere,Rarely,True,Occasionally,Sometimes,3,No,2,2,Product recommendations,Product quality and accuracy,2023-06-12,4
517,519,36,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,First page,3,No,Sometimes,Found a better price elsewhere,Often,True,Moderately,Sometimes,3,No,2,2,Competitive prices,Reducing packaging waste,2023-06-12,4
518,520,22,Male,Once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,2,No,Often,Found a better price elsewhere,Always,True,Occasionally,Sometimes,2,No,2,2,Competitive prices,Customer service responsiveness,2023-06-12,4
519,521,34,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a week,Filter,First page,1,Yes,Often,Found a better price elsewhere,Always,True,Moderately,Sometimes,2,Sometimes,2,2,Competitive prices,Product quality and accuracy,2023-06-12,4
520,522,35,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Often,True,Rarely,Sometimes,2,Sometimes,2,3,Wide product selection,Customer service responsiveness,2023-06-12,4
521,523,34,Prefer not to say,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,categories,Multiple pages,4,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,Sometimes,2,Sometimes,5,4,Competitive prices,Reducing packaging waste,2023-06-12,4
522,524,21,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,4,No,Rarely,Changed my mind or no longer need the item,Sometimes,True,Never,No,5,No,5,4,Product recommendations,Product quality and accuracy,2023-06-12,4
523,525,24,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,others,First page,5,No,Never,others,Never,True,Never,No,5,No,5,5,User-friendly website/app interface,Reducing packaging waste,2023-06-12,4
524,526,26,Prefer not to say,Less than once a month,Home and Kitchen;others,No,Rarely,others,First page,5,No,Never,others,Never,True,Never,No,5,No,5,5,User-friendly website/app interface,Product quality and accuracy,2023-06-12,4
525,527,36,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,others,First page,5,Maybe,Rarely,others,Never,True,Rarely,No,4,No,5,4,Wide product selection,Customer service responsiveness,2023-06-12,4
526,528,36,Female,Once a month,Groceries and Gourmet Food,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,Sometimes,3,3,Competitive prices,Reducing packaging waste,2023-06-12,4
527,529,28,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,others,Multiple pages,4,No,Rarely,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,4,Product recommendations,Reducing packaging waste,2023-06-12,4
528,530,40,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Few times a month,categories,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,3,No,2,3,Wide product selection,Shipping speed and reliability,2023-06-12,4
529,531,50,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Rarely,Sometimes,3,Sometimes,4,3,Product recommendations,Reducing packaging waste,2023-06-12,4
530,532,27,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Filter,Multiple pages,2,Maybe,Often,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Yes,2,No,2,3,Wide product selection,Product quality and accuracy,2023-06-12,4
531,533,27,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Filter,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,3,Sometimes,3,4,Wide product selection,Shipping speed and reliability,2023-06-12,4
532,534,45,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Keyword,First page,4,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,No,2,Yes,2,3,Product recommendations,Product quality and accuracy,2023-06-12,4
533,535,46,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,categories,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,2,Yes,2,3,Competitive prices,Reducing packaging waste,2023-06-12,4
534,536,60,Prefer not to say,Less than once a month,Home and Kitchen;others,Sometimes,Few times a month,categories,First page,4,Yes,Sometimes,High shipping costs,Sometimes,True,Occasionally,Sometimes,4,No,3,4,Product recommendations,Customer service responsiveness,2023-06-12,4
535,537,32,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Filter,First page,1,Yes,Always,Found a better price elsewhere,Often,True,Occasionally,No,2,No,2,4,Wide product selection,Reducing packaging waste,2023-06-12,4
536,538,45,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,2,No,Sometimes,others,Sometimes,True,Rarely,No,3,No,2,2,Competitive prices,Customer service responsiveness,2023-06-12,4
537,539,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,3,No,Often,Found a better price elsewhere,Often,True,Occasionally,Yes,2,No,2,2,Product recommendations,Customer service responsiveness,2023-06-12,4
538,540,37,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,3,No,2,3,Product recommendations,Shipping speed and reliability,2023-06-12,4
539,541,37,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,1,No,2,3,Product recommendations,Customer service responsiveness,2023-06-12,4
540,542,32,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,2,No,2,3,Product recommendations,Customer service responsiveness,2023-06-12,4
541,543,56,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,No,2,No,2,2,Product recommendations,Reducing packaging waste,2023-06-12,4
542,544,34,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Never,Sometimes,3,No,3,2,Product recommendations,Customer service responsiveness,2023-06-12,4
543,545,21,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,First page,3,Maybe,Often,Changed my mind or no longer need the item,Rarely,True,Moderately,Sometimes,2,Yes,1,1,Wide product selection,Product quality and accuracy,2023-06-12,4
544,546,46,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,First page,1,Maybe,Often,Changed my mind or no longer need the item,Often,True,Occasionally,Yes,2,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-12,4
